"StudyCategory","Subcategory","taxo"
"Pains industriels","Tous les pains industriels","en:breads"
"Pains industriels","Baguettes","en:baguettes"
"Pains industriels","Biscottes","en:rusks"
"Pains industriels","Pains de mie","en:sliced-breads"
"Pains industriels","Pains spéciaux","en:special-breads"
"Céréales pour petit déjeuner","Toutes les céréales","en:breakfast-cereals"
"Céréales pour petit déjeuner","Céréales avec chocolat","en:chocolate-cereals"
"Céréales pour petit déjeuner","Pétales","en:cereal-flakes"
"Céréales pour petit déjeuner","Mueslis","en:mueslis"
"Céréales pour petit déjeuner","Céréales fourrées","en:filled-cereals"
"Céréales pour petit déjeuner","Céréales avec du miel","en:cereals-with-honey"
"Viennoiseries","Toutes viennoiseries","en:viennoiseries"
"Viennoiseries","Brioches et gâches","en:brioches"
"Gâteaux et biscuits","Gâteaux et biscuits sucrés","en:sweet-snacks"
"Laits et boissons lactées","Tous les laits","en:milks"
"Laits et boissons lactées","Laits fermentés","en:fermented-milk-drinks"
"Laits et boissons lactées","Laits aromatisés","en:flavoured-milks"
"Laits et boissons lactées","Laits sans lactose","en:lactose-free-milk"
"Laits et boissons lactées","Autres laits (animal)","en:cow-milks"
"Laits et boissons lactées","Alternatives végétales","en:milk-substitutes"
"Eaux aromatisées","Toutes les eaux arom.","en:flavored-waters"
"Boissons gazeuses","Boissons gazeuses / thé","en:carbonated-drinks"
"Jus","Tous les jus","en:juices-and-nectars"
"Jus","Boissons à base de jus","en:fruit-juices-from-concentrate"
"Jus","Jus de légumes","en:vegetable-juices"
"Jus","Nectars","en:fruit-nectars"
"Jus","Purs jus / autres","en:fruit-juices"
"Jus","Smoothies","en:smoothies"
"Pommes de terre","Produits surgelés","en:frozen-potatoes"
"Légumes surgelés","Légumes transformés","en:frozen-vegetables"
"Sauces","Sauces liquides recettes","en:sauces"
"Sauces","Toutes sauces pâtes","en:pasta-sauces"
"Sauces","Sauces pesto","en:pestos"
"Sauces","Sauces végétariennes","en:vegetarian-sauces"
"Sauces","Sauces à base de viande","en:meat-based-sauces"
"Sauces","Autres sauces basiques","en:tomato-sauces"
"Pizzas","Toutes les pizzas","en:pizzas"
"Pizzas","Pizzas au fromage","en:cheese-pizzas"
"Pizzas","Pizzas au poisson","en:tuna-pizzas"
"Pizzas","Pizzas à base de viande","en:ham-pizzas"
"Pizzas","Pizzas végétariennes","en:vegetarian-pizzas"
"Salades préparées","Toutes les salades","en:prepared-salads"
"Salades préparées","Prêtes à manger","en:prepared-salads"
"Salades préparées","Taboulés","en:tabbouleh"
"Viandes transformées","Toutes viandes transf.","en:prepared-meats"
"Viandes transformées","Charcuterie tranchée","fr:charcuteries-diverses"
"Viandes transformées","Jambon Blanc","en:white-hams"
"Viandes transformées","Lardons","en:lardons"
"Viandes transformées","Produits panés","en:breaded-chicken"
"Viandes transformées","Saucisses","en:sausages"
"Viandes transformées","Terrines","en:meat-spreads"
"Poissons transf.","Tous poissons transf.","en:fishes"
"Poissons transf.","Conserves (autres)","en:canned-fishes"
"Poissons transf.","Maquereaux","en:mackerels"
"Poissons transf.","Poissons panés","en:breaded-fish"
"Poissons transf.","Rillettes","en:fish-rillettes"
"Poissons transf.","Sardines","en:sardines"
"Poissons transf.","Fruits de mer","en:shellfish"
"Poissons transf.","Saumons fumés","en:smoked-salmons"
"Poissons transf.","Thons","en:tunas"
"Plats préparés","Tous plats préparés","en:meals"
"Plats préparés","Hamburgers","en:hamburgers"
"Plats préparés","Cassoulets","en:cassoulets"
"Plats préparés","Chilis","en:chili-con-carne"
"Plats préparés","Choucroutes","en:sauerkrauts"
"Plats préparés","Plats trad. viande","en:meals-with-meat"
"Plats préparés","Couscous","en:couscous"
"Plats préparés","Snacking","en:salty-snacks"
"Plats préparés","Gratins","en:gratins"
"Plats préparés","Paëllas","en:paella"
"Plats préparés","Parmentiers","en:beef-cottage-pies"
"Plats préparés,Riz"," pâtes ou blé","en:rice-dishes"
"Plats préparés","Lentilles saucisses","en:lentil-dishes"
"Plats préparés","Purées","en:purees"
"Plats préparés","Quenelles","en:plain-quenelles"
"Plats préparés","Plats poisson","en:meals-with-fish"
"Plats préparés","Tartes feuilletés","en:sweet-pies"
"Plats préparés","Plats végétariens","en:plant-based-meals"
"Soupes","Toutes les soupes","en:soups"
"Soupes","Gazpachos","en:gazpacho"
"Soupes","Soupes poisson/viande","en:fish-soups"
"Soupes","Soupes de légumes","en:vegetable-soups"
"Yaourts","Tous les yaourts","en:yogurts"
"Yaourts","Yaourts aromatisés","en:fruit-yogurts"
"Yaourts","Fromages blancs","en:fermented-dairy-desserts"
"Yaourts","Yaourts à la grecque","en:greek-style-yogurts"
"Yaourts","Alternatives végétales","en:non-dairy-yogurts"
"Yaourts","Autres laits (non-vache)","en:sheep-milk-yogurts"
"Yaourts","Yaourts nature","en:plain-yogurts"
"Yaourts","Yaourts à la vanille","en:vanilla-yogurt"
"Yaourts","Yaourts sucrés","en:plain-yogurt-with-sugar"
"Yaourts à boire","Tous yaourts à boire","en:yogurt-drinks"
"Yaourts à boire","Aromatisés/fruits","en:flavoured-yogurt-drinks"
"Yaourts à boire","Nature et sucrés","en:yogurt-drinks-with-sugar"
"Fromages","Fromages","en:cheeses"